Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Repaired?
2020-01-02,71.72101143907315,72.77659055848162,71.4668047519516,72.716064453125,135480400,0.0,0.0,False
2020-01-03,71.94132818321717,72.77174458511139,71.7839617851537,72.00911712646484,146322800,0.0,0.0,False
2020-01-06,71.12786596061405,72.62164622763687,70.87607527260708,72.5829086303711,118387200,0.0,0.0,False
2020-01-07,72.59260129853506,72.84923143823697,72.02123831231323,72.2415542602539,108872000,0.0,0.0,False
2020-01-08,71.9437663243162,73.70628659812324,71.9437663243162,73.40365600585938,132079200,0.0,0.0,False
2020-01-09,74.3841659131879,75.15647966923257,74.13238261481911,74.96279907226562,170108400,0.0,0.0,False
2020-01-10,75.19762083507513,75.69877866776542,74.62867407248754,75.13224792480469,140644800,0.0,0.0,False
2020-01-13,75.44942915816804,76.76405445807666,75.33079296168272,76.73741912841797,121532000,0.0,0.0,False
2020-01-14,76.67449772391772,76.88512745571894,75.57776463991175,75.70123291015625,161954400,0.0,0.0,False
2020-01-15,75.5002685322302,76.38394823058523,74.94342390604251,75.37679290771484,121923600,0.0,0.0,False
2020-01-16,75.92154348740286,76.4323877854954,75.55838676505513,76.32101440429688,108829200,0.0,0.0,False
2020-01-17,76.57037231867773,77.16837061022176,76.26290232469962,77.16595458984375,137816400,0.0,0.0,False
2020-01-21,76.79310894375465,77.23615682397768,76.50500406521856,76.64300537109375,110843200,0.0,0.0,False
2020-01-22,77.12964119289799,77.4710093927943,76.82217116630478,76.91659545898438,101832400,0.0,0.0,False
2020-01-23,76.96983114393875,77.3668785027068,76.42024944843635,77.2869873046875,104472000,0.0,0.0,False
2020-01-24,77.53393791090298,78.27961624864055,76.87299020657808,77.06425476074219,146537600,0.0,0.0,False
2020-01-27,75.06691204410036,75.48090862271498,73.81281265158368,74.79817962646484,161940000,0.0,0.0,False
2020-01-28,75.68185845150586,77.08606141566885,75.5825947326495,76.91416931152344,162234000,0.0,0.0,False
2020-01-29,78.55081288992464,79.37396676368444,77.80755025524326,78.52417755126953,216229200,0.0,0.0,False
2020-01-30,77.60415017442514,78.46361788035526,77.1707812088342,78.41035461425781,126743200,0.0,0.0,False
2020-01-31,77.69855903722024,78.12224171387334,74.6383634318401,74.93373107910156,199588400,0.0,0.0,False
2020-02-03,73.67240202472425,75.8973431408314,73.16882787715565,74.72798156738281,173788400,0.0,0.0,False
